tourney_id,match_num,tourney_date,tourney_name,surface,year,player_name,opp_name,player_LN,Opp_LN,player_odds,opp_odds
2016-0308,271,20160425,Munich,Clay,2016,Marco Cecchinato,Igor Sijsling,Cecchinato,Sijsling,147,-179
2016-0308,272,20160425,Munich,Clay,2016,Mikhail Kukushkin,Evgeny Donskoy,Kukushkin,Donskoy,-122,-104
2016-0308,279,20160425,Munich,Clay,2016,Ivan Dodig,Ernests Gulbis,Dodig,Gulbis,-130,104
2016-0308,280,20160425,Munich,Clay,2016,Mischa Zverev,Santiago Giraldo,Zverev,Giraldo,-159,125
2016-0308,286,20160425,Munich,Clay,2016,Igor Sijsling,Jozef Kovalik,Sijsling,Kovalik,-104,-123
2016-0308,286,20160425,Munich,Clay,2016,Igor Sijsling,Jozef Kovalik,Sijsling,Kovalik,166,-222
2016-0308,288,20160425,Munich,Clay,2016,Florian Mayer,Philipp Kohlschreiber,Mayer,Kohlschreiber,505,-769
2016-0308,290,20160425,Munich,Clay,2016,Ivan Dodig,Thomaz Bellucci,Dodig,Bellucci,144,-189
2016-0308,292,20160425,Munich,Clay,2016,Lukas Rosol,Alexander Zverev,Rosol,Zverev,177,-227
2016-0308,294,20160425,Munich,Clay,2016,Fabio Fognini,Jozef Kovalik,Fognini,Kovalik,-714,470
2016-0308,296,20160425,Munich,Clay,2016,Dominic Thiem,Ivan Dodig,Thiem,Dodig,-667,451
2016-0308,298,20160425,Munich,Clay,2016,Philipp Kohlschreiber,Fabio Fognini,Kohlschreiber,Fognini,-270,211
2016-0308,299,20160425,Munich,Clay,2016,Alexander Zverev,Dominic Thiem,Zverev,Thiem,179,-233
2016-0319,277,20160718,Kitzbuhel,Clay,2016,Lukas Rosol,Nikoloz Basilashvili,Rosol,Basilashvili,-185,147
2016-0319,283,20160718,Kitzbuhel,Clay,2016,Albert Montanes,Gerald Melzer,Montanes,Melzer,-149,119
2016-0319,284,20160718,Kitzbuhel,Clay,2016,Jurgen Melzer,Taro Daniel,Melzer,Daniel,165,-213
2016-0319,287,20160718,Kitzbuhel,Clay,2016,Dusan Lajovic,Mischa Zverev,Lajovic,Zverev,-179,143
2016-0319,288,20160718,Kitzbuhel,Clay,2016,Adam Pavlasek,Marcel Granollers,Pavlasek,Granollers,156,-196
2016-0319,293,20160718,Kitzbuhel,Clay,2016,Dominic Thiem,Jurgen Melzer,Thiem,Melzer,-1250,718
2016-0319,294,20160718,Kitzbuhel,Clay,2016,Dusan Lajovic,Karen Khachanov,Lajovic,Khachanov,-132,102
2016-0319,295,20160718,Kitzbuhel,Clay,2016,Nikoloz Basilashvili,Adam Pavlasek,Basilashvili,Pavlasek,121,-154
2016-0319,297,20160718,Kitzbuhel,Clay,2016,Jurgen Melzer,Gerald Melzer,Melzer,Melzer,-137,110
2016-0319,298,20160718,Kitzbuhel,Clay,2016,Nikoloz Basilashvili,Dusan Lajovic,Basilashvili,Lajovic,175,-233
2016-0319,299,20160718,Kitzbuhel,Clay,2016,Gerald Melzer,Paolo Lorenzi,Melzer,Lorenzi,-120,-104
2016-0319,300,20160718,Kitzbuhel,Clay,2016,Paolo Lorenzi,Nikoloz Basilashvili,Lorenzi,Basilashvili,-122,100
2016-0321,271,20160606,Stuttgart,Grass,2016,Denis Istomin,Radek Stepanek,Istomin,Stepanek,175,-227
2016-0321,277,20160606,Stuttgart,Grass,2016,Lucas Pouille,John Millman,Pouille,Millman,121,-154
2016-0321,278,20160606,Stuttgart,Grass,2016,Mikhail Youzhny,Feliciano Lopez,Youzhny,Lopez,200,-263
2016-0321,282,20160606,Stuttgart,Grass,2016,Florian Mayer,Viktor Troicki,Mayer,Troicki,169,-227
2016-0321,290,20160606,Stuttgart,Grass,2016,Sergiy Stakhovsky,Mikhail Youzhny,Stakhovsky,Youzhny,125,-156
2016-0321,292,20160606,Stuttgart,Grass,2016,Michael Berrer,Florian Mayer,Berrer,Mayer,184,-238
2016-0321,299,20160606,Stuttgart,Grass,2016,Roger Federer,Dominic Thiem,Federer,Thiem,-333,254
2016-0321,300,20160606,Stuttgart,Grass,2016,Dominic Thiem,Philipp Kohlschreiber,Thiem,Kohlschreiber,156,-185
2016-0329,270,20161003,Tokyo,Hard,2016,Yuichi Sugita,Gael Monfils,Sugita,Monfils,627,-1000
2016-0329,272,20161003,Tokyo,Hard,2016,Janko Tipsarevic,Taro Daniel,Tipsarevic,Daniel,-118,-105
2016-0329,273,20161003,Tokyo,Hard,2016,Ivo Karlovic,Federico Delbonis,Karlovic,Delbonis,-312,241
2016-0329,275,20161003,Tokyo,Hard,2016,Marcel Granollers,Marcos Baghdatis,Granollers,Baghdatis,173,-227
2016-0329,276,20161003,Tokyo,Hard,2016,Stephane Robert,Radek Stepanek,Robert,Stepanek,177,-227
2016-0329,280,20161003,Tokyo,Hard,2016,Go Soeda,Fernando Verdasco,Soeda,Verdasco,225,-286
2016-0329,281,20161003,Tokyo,Hard,2016,Marin Cilic,Benoit Paire,Cilic,Paire,-476,338
2016-0329,284,20161003,Tokyo,Hard,2016,Martin Klizan,Joao Sousa,Klizan,Sousa,147,-185
2016-0329,287,20161003,Tokyo,Hard,2016,Ivo Karlovic,Janko Tipsarevic,Karlovic,Tipsarevic,-167,131
2016-0329,290,20161003,Tokyo,Hard,2016,Juan Monaco,James Duckworth,Monaco,Duckworth,-172,131
2016-0329,291,20161003,Tokyo,Hard,2016,Marin Cilic,Fernando Verdasco,Cilic,Verdasco,-417,303
2016-0329,292,20161003,Tokyo,Hard,2016,Jiri Vesely,David Goffin,Vesely,Goffin,197,-256
2016-0329,293,20161003,Tokyo,Hard,2016,Kei Nishikori,Joao Sousa,Nishikori,Sousa,-1429,748
2016-0329,295,20161003,Tokyo,Hard,2016,Nick Kyrgios,Gilles Muller,Kyrgios,Muller,-204,159
2016-0329,296,20161003,Tokyo,Hard,2016,Marin Cilic,Juan Monaco,Cilic,Monaco,-500,373
2016-0329,299,20161003,Tokyo,Hard,2016,David Goffin,Marin Cilic,Goffin,Cilic,152,-196
2016-0337,272,20161024,Vienna,Hard,2016,Nicolas Almagro,Damir Dzumhur,Almagro,Dzumhur,-137,110
2016-0337,275,20161024,Vienna,Hard,2016,Fabio Fognini,Albert Ramos,Fognini,Ramos,-238,189
2016-0337,278,20161024,Vienna,Hard,2016,Kyle Edmund,David Ferrer,Edmund,Ferrer,131,-167
2016-0337,279,20161024,Vienna,Hard,2016,Joao Sousa,Pablo Cuevas,Sousa,Cuevas,-125,100
2016-0337,280,20161024,Vienna,Hard,2016,Kevin Anderson,Viktor Troicki,Anderson,Troicki,-133,106
2016-0337,281,20161024,Vienna,Hard,2016,Dominic Thiem,Gerald Melzer,Thiem,Melzer,-909,563
2016-0337,287,20161024,Vienna,Hard,2016,Ivo Karlovic,Damir Dzumhur,Karlovic,Dzumhur,-323,242
2016-0337,288,20161024,Vienna,Hard,2016,Albert Ramos,Jurgen Melzer,Ramos,Melzer,108,-137
2016-0337,290,20161024,Vienna,Hard,2016,Joao Sousa,David Ferrer,Sousa,Ferrer,216,-278
2016-0337,292,20161024,Vienna,Hard,2016,John Isner,Feliciano Lopez,Isner,Lopez,-139,108
2016-0337,297,20161024,Vienna,Hard,2016,Andy Murray,John Isner,Murray,Isner,-833,544
2016-0341,273,20160919,Metz,Hard,2016,Nicolas Mahut,Quentin Halys,Mahut,Halys,-476,351
2016-0341,277,20160919,Metz,Hard,2016,Martin Klizan,Julien Benneteau,Klizan,Benneteau,112,-147
2016-0341,279,20160919,Metz,Hard,2016,Malek Jaziri,Ivan Dodig,Jaziri,Dodig,102,-125
2016-0341,284,20160919,Metz,Hard,2016,Peter Gojowczyk,Nicolas Almagro,Gojowczyk,Almagro,149,-189
2016-0341,287,20160919,Metz,Hard,2016,Nicolas Mahut,Illya Marchenko,Mahut,Marchenko,-217,169
2016-0341,290,20160919,Metz,Hard,2016,Malek Jaziri,Vincent Millot,Jaziri,Millot,-135,108
2016-0341,292,20160919,Metz,Hard,2016,Nikoloz Basilashvili,Gilles Muller,Basilashvili,Muller,283,-370
2016-0341,293,20160919,Metz,Hard,2016,Dominic Thiem,Peter Gojowczyk,Thiem,Gojowczyk,-400,298
2016-0341,295,20160919,Metz,Hard,2016,Julien Benneteau,Lucas Pouille,Benneteau,Pouille,144,-185
2016-0352,239,20161031,Paris Masters,Hard,2016,Robin Haase,Fernando Verdasco,Haase,Verdasco,-137,110
2016-0352,243,20161031,Paris Masters,Hard,2016,Gilles Simon,Julien Benneteau,Simon,Benneteau,-256,200
2016-0352,244,20161031,Paris Masters,Hard,2016,Andreas Seppi,Joao Sousa,Seppi,Sousa,-154,123
2016-0352,251,20161031,Paris Masters,Hard,2016,Albert Ramos,Stephane Robert,Ramos,Robert,-152,123
2016-0352,252,20161031,Paris Masters,Hard,2016,Viktor Troicki,Adrian Mannarino,Troicki,Mannarino,-196,156
2016-0352,256,20161031,Paris Masters,Hard,2016,Steve Johnson,Guido Pella,Johnson,Pella,-303,233
2016-0352,263,20161031,Paris Masters,Hard,2016,Nicolas Mahut,Martin Klizan,Mahut,Klizan,-147,118
2016-0352,264,20161031,Paris Masters,Hard,2016,Dusan Lajovic,Ivo Karlovic,Lajovic,Karlovic,199,-256
2016-0352,273,20161031,Paris Masters,Hard,2016,Tomas Berdych,Joao Sousa,Berdych,Sousa,-345,268
2016-0352,282,20161031,Paris Masters,Hard,2016,Nicolas Mahut,David Goffin,Mahut,Goffin,249,-323
2016-0352,283,20161031,Paris Masters,Hard,2016,Marin Cilic,Ivo Karlovic,Cilic,Karlovic,-294,225
2016-0352,287,20161031,Paris Masters,Hard,2016,Tomas Berdych,Gilles Simon,Berdych,Simon,-109,-112
2016-0352,288,20161031,Paris Masters,Hard,2016,Pablo Cuevas,Milos Raonic,Cuevas,Raonic,526,-769
2016-0352,293,20161031,Paris Masters,Hard,2016,Novak Djokovic,Grigor Dimitrov,Djokovic,Dimitrov,-833,572
2016-0352,294,20161031,Paris Masters,Hard,2016,Tomas Berdych,Andy Murray,Berdych,Murray,610,-909
2016-0352,296,20161031,Paris Masters,Hard,2016,John Isner,Jack Sock,Isner,Sock,124,-152
2016-0352,297,20161031,Paris Masters,Hard,2016,Novak Djokovic,Marin Cilic,Djokovic,Cilic,-476,355
2016-0352,300,20161031,Paris Masters,Hard,2016,John Isner,Andy Murray,Isner,Murray,449,-625
2016-0375,271,20160201,Montpellier,Hard,2016,Luca Vanni,Alexander Zverev,Vanni,Zverev,186,-250
2016-0375,276,20160201,Montpellier,Hard,2016,Julien Benneteau,John Millman,Benneteau,Millman,131,-167
2016-0375,278,20160201,Montpellier,Hard,2016,Ruben Bemelmans,Joao Sousa,Bemelmans,Sousa,329,-476
2016-0375,280,20160201,Montpellier,Hard,2016,Steve Darcis,Dustin Brown,Darcis,Brown,114,-143
2016-0375,283,20160201,Montpellier,Hard,2016,Denis Istomin,Taro Daniel,Istomin,Daniel,-213,163
2016-0375,284,20160201,Montpellier,Hard,2016,Ernests Gulbis,Quentin Halys,Gulbis,Halys,-196,154
2016-0375,286,20160201,Montpellier,Hard,2016,Alexander Zverev,Marin Cilic,Zverev,Cilic,337,-476
2016-0375,294,20160201,Montpellier,Hard,2016,Michael Berrer,Alexander Zverev,Berrer,Zverev,159,-200
2016-0375,297,20160201,Montpellier,Hard,2016,Richard Gasquet,Marcos Baghdatis,Gasquet,Baghdatis,-238,185
